Iteration,MaximumReturn,MinimumReturn,TotalSamples,AverageReturn
,198.81130301257005,114.29914835152809,6666,179.65051205850895
1,199.0471927673064,128.73723075315345,9999,175.3083552754007
2,199.0511247066709,130.79486466356894,13332,165.45548594043143
3,199.26099870813812,123.05554332018556,16665,178.63842960565128
4,199.14850671087083,72.91408661857093,19998,178.36337444280525
5,199.0380410176675,127.3667825453569,23331,170.12737075652964
6,199.20646694915956,120.1733594811873,26664,175.1900489912928
7,198.61158404635054,96.79967372999198,29997,161.96805111095853
8,198.867382869055,123.92328839682995,33330,169.19017264487707
9,198.51916971045344,116.51257505466742,36663,166.90085502610572
10,199.18437848989936,127.55729272695609,39996,175.66853990297477
11,199.1238398636741,112.52971332097003,43329,176.21373760233672
12,199.42768824986362,121.21234210351238,46662,168.48260357195025
13,198.79628866523817,117.3833206519583,49995,157.65838838643987
14,199.087753194037,127.4678394816144,53328,165.80991264396462
15,199.31857535721966,129.02152455793052,56661,175.70128996235664
16,199.19396689746836,130.66557861496796,59994,178.06039817424625
17,199.26288293262465,125.36602009676412,63327,165.16503501393188
18,199.34415771329247,127.91840561224639,66660,170.51694201068014
19,199.24449187739935,133.88393482001345,69993,171.56326237000846
20,198.9058759361254,122.38333621545655,73326,175.3259421793191
21,199.23846989642993,125.9085620813254,76659,171.43856527947537
22,198.49096701259927,124.35921042036486,79992,170.7783681407961
23,199.22798835925497,123.71600980681937,83325,172.06455897001496
24,199.31290486150692,122.2607561116706,86658,168.42080058794684
25,199.26249973838955,121.34764486094949,89991,163.7194259429843
26,199.08808230264177,131.56269683040253,93324,167.71958369314055
27,198.77985197938068,125.56215076105912,96657,173.5904477779545
28,198.87314255071252,124.37803536418177,99990,170.45026687548096
29,199.27556658383287,121.32237913298027,103323,172.89343091981434
30,199.00762007600323,131.69957355482128,106656,167.06770650412042
31,199.27172657738183,130.63325870300963,109989,168.01842423728803
32,199.21285761726475,133.9949330620313,113322,174.4179456147203
33,199.2546637846944,118.43631106867053,116655,173.78938258447425
34,199.40972363565263,127.7843116747974,119988,170.6471688474307
35,198.73339245609378,127.13085589292032,123321,174.83792615070104
36,198.809870187336,122.53868144390124,126654,158.4285334111322
37,199.29951287427917,123.25708420324936,129987,162.49094797234397
38,199.47481310578033,142.55455692631367,133320,173.32849798103723
39,198.9526387372585,128.81764266052838,136653,171.65403413908797
