MaximumReturn,Iteration,AverageReturn,TotalSamples,MinimumReturn
117.37536440107029,,106.75843498111605,8000,95.02480730060581
117.06320918561012,1,109.01396115942384,12000,104.93340776576744
141.8106361843235,2,133.17800502216315,16000,122.91480996959118
134.16050450121165,3,123.66500647605194,20000,105.38358366738518
127.03364669522607,4,115.0981581326243,24000,100.38803167064673
107.20609385843234,5,102.76160983254857,28000,95.96279452253792
98.99265389136228,6,95.39668477482995,32000,94.0621834120684
115.69085863968172,7,109.8100644391302,36000,105.98762844316144
124.10216117590218,8,117.82739935646454,40000,111.84901448216381
124.91920520257402,9,123.29208213137883,44000,121.48984048258748
101.77794748783882,10,94.26069948836522,48000,86.56259125706626
109.98310385950413,11,102.51464312867756,52000,92.40106235658196
131.94103606927516,12,125.22784221791683,56000,118.27452482430166
139.57147391135754,13,136.54131896500954,60000,130.2842672315136
135.81752808520355,14,128.35275979416926,64000,122.16815941951361
135.86075443203288,15,132.1091991643909,68000,127.00197788692228
131.5137096294711,16,124.79782436950616,72000,119.91904914640813
127.97268464062206,17,122.7430516100959,76000,114.70489673589529
130.03513890518624,18,124.59176788108205,80000,114.77107537601962
125.85254129217043,19,122.87894420010537,84000,119.06841330557778
123.8883431137897,20,115.75194591858866,88000,106.11875248765988
126.90603968402573,21,118.5195559887842,92000,113.49865170164293
130.89313897651863,22,124.83165056921433,96000,120.23782906816552
133.63088434592063,23,131.50358322163143,100000,127.9071534054221
128.55249168803812,24,124.87654972021573,104000,122.42684873158892
131.66371398830114,25,124.56575841829306,108000,118.07025361726582
133.8140064594162,26,132.28675799515273,112000,130.96690158635013
136.27835398335,27,132.05780787878476,116000,129.11314468634862
128.46709416158367,28,126.96792469699817,120000,124.83791524347768
132.83080894269025,29,126.85871223303293,124000,122.38951552147415
132.81380600810567,30,127.29662753464743,128000,124.62015800647666
128.70606696388973,31,124.97852289188211,132000,120.77961436218465
131.96472291736814,32,129.69072571728017,136000,125.8891146185187
