MaximumReturn,TotalSamples,Iteration,AverageReturn,MinimumReturn
-2121.352859433153,8000,,-2253.5724345781746,-2347.9638593219597
-2580.1936256051076,12000,1,-2719.316785415844,-2897.7946296068876
-2616.586445176247,16000,2,-2906.811091387374,-3092.592577531085
-1247.2344217148777,20000,3,-2361.925609878784,-3226.5882684349017
-1252.146138095011,24000,4,-2327.05685365742,-2918.4704238185936
-2677.3963939872788,28000,5,-2903.9692450462735,-3031.0798825790525
-1241.5166361170561,32000,6,-1787.0671545469643,-2070.504783197847
-1173.656163433698,36000,7,-1492.5509498669273,-1870.8400741915518
56.87373865267481,40000,8,-586.0801666511436,-1077.9474281738317
327.3667125767252,44000,9,-460.56618496938285,-1464.7176828679067
-216.699527845757,48000,10,-811.4464882917374,-1721.4923290274053
-131.33902497416756,52000,11,-662.6756983356332,-1540.8330047452546
283.9486044997921,56000,12,-644.7615625184256,-1309.5512446244097
-699.7957111911844,60000,13,-1124.4048770910588,-1613.4236439026743
-315.83347123155556,64000,14,-862.9286913743068,-1237.3414960902824
344.05171247492007,68000,15,-43.92893011892169,-300.5029517983118
86.82897850268756,72000,16,-225.14662302621403,-432.60260834051127
205.98848126748447,76000,17,-184.02834255396877,-517.0637775558223
366.8633243321723,80000,18,-188.7273767406282,-887.0819066216349
359.9978411319755,84000,19,-172.78907134691065,-676.5618111995292
342.4100802127866,88000,20,-399.3905022937403,-1109.6801278940072
-299.0408360178535,92000,21,-837.431240483109,-1614.6589459574661
-48.71326379310125,96000,22,-888.4076216020817,-1961.6130293985163
-830.8047072579703,100000,23,-1158.490820451105,-1678.5191913486474
7.068611491500636,104000,24,-1020.6606407676877,-1872.3267169080823
72.0963722314791,108000,25,-257.32097878290216,-716.6756084028423
-125.84965402979415,112000,26,-377.77660171119504,-661.8152934993121
10.889945509161656,116000,27,-694.9795482361009,-2037.7452678113914
-163.61229086280125,120000,28,-557.0398495968944,-1147.7492316544622
-144.7541209337153,124000,29,-749.12819300706,-1814.0092791669924
-187.75184245402917,128000,30,-706.7532152498935,-1493.9305589037494
229.2611276175975,132000,31,-871.2168192427783,-1893.7390273314834
-407.8820202261271,136000,32,-931.1469444486452,-1744.4950108685423
