TotalSamples,MinimumReturn,AverageReturn,Iteration,MaximumReturn
8000,-520.5218269447316,-393.0882570484341,,-309.9038266734119
12000,-423.9037507837055,-354.35553163956746,1,-267.2244793019193
16000,-371.08274823628904,-330.36578719488256,2,-276.2440887772199
20000,-86.36951574896166,-46.198380209804164,3,-15.712616311557573
24000,164.7453328107601,257.2097917304885,4,352.57492798594285
28000,758.8215696879001,896.8343408620336,5,1071.4815240832534
32000,1027.6920527858554,1118.341403325854,6,1336.6170255757345
36000,1032.8698646761877,1358.063470761648,7,1559.8949639596997
40000,80.41912281262827,1513.0848929824735,8,2013.230797397532
44000,45.57197978655694,1572.8101300439157,9,2133.09698144292
48000,1081.0130318455524,1545.5070755580045,10,1938.995002824605
52000,221.23831376367198,962.0606442536235,11,2193.6750764398143
56000,-177.28130165127772,296.98032302715893,12,1537.226010204477
60000,-261.9774632893476,-78.92529643639328,13,300.2885136089717
64000,-399.7209925349139,-197.3302633315076,14,97.72147797373687
68000,-385.86335039457214,126.64460261949618,15,725.4739589749362
72000,-337.44945334966866,58.74758023769581,16,481.44169350506604
76000,-101.99056581495044,306.69937783578104,17,1199.4316945502605
80000,-185.34861236102694,394.9212082445145,18,1045.0644326478803
84000,-330.92594421602996,351.606188358154,19,739.8185891571902
88000,-340.4660088844047,974.8113818292268,20,1471.8949716522866
92000,-428.05284770276074,439.992982339023,21,1276.3792368351071
96000,-329.8812881496303,470.7883382869399,22,1644.3070673476607
100000,193.25590448005227,1219.9281615428597,23,1739.2759276248926
104000,-474.1925922641457,-52.79102315872694,24,420.9504052849062
108000,-625.0880612326146,4.917619003937868,25,1638.122608571013
112000,-403.09281887567386,341.10554550330534,26,1555.9868842560331
116000,-439.3585350688546,138.4074489333153,27,897.4188106255855
120000,-262.41835101636417,440.55240996225,28,1856.2259251387045
124000,-544.4624792514359,134.12834672308517,29,1782.8493320703
128000,-723.9175723001098,277.93738165861373,30,1126.4998064290428
132000,318.9337751857017,1348.3969606821247,31,2175.1742824936728
136000,-700.7583254213603,832.6447200974502,32,1917.5942528265093
