Iteration,MinimumReturn,MaximumReturn,AverageReturn,TotalSamples
,-1.2444735654158015,7.591808658889482,2.7612325191371347,8000
1,80.70599271027324,89.37793972443531,84.24414758086165,12000
2,88.49318811407126,94.34963165248173,90.89975883561772,16000
3,102.61379223981837,107.61617208368455,104.85546831659515,20000
4,129.79966770267526,138.37900747973234,133.82974705061912,24000
5,136.82645658608573,148.53039965590844,142.2337666071355,28000
6,173.30382326182752,183.58877668145448,177.8778444949187,32000
7,207.9576114087057,213.9112213116503,210.74099711221348,36000
8,248.08086377945054,252.74413158492493,250.54893028276788,40000
9,243.62602276705266,258.8807972354299,253.64696571568834,44000
10,320.59719073617885,328.71843327094126,324.1417741420668,48000
11,321.5925104957306,329.90740285751406,324.2595278733582,52000
12,316.3513213352206,322.18258883549277,318.9791015219435,56000
13,329.38307126190836,336.19957949595073,332.55537873152065,60000
14,318.9347514786434,325.0869830796136,321.75633135495843,64000
15,334.62070734719674,341.88295013206897,338.7675875151189,68000
16,329.67450831303915,335.2750045995042,333.01821924626967,72000
17,331.5099531566028,337.97502943966015,335.29737582376265,76000
18,320.24247493700506,328.2941782228318,323.9148508425053,80000
19,324.7379255201047,327.69934795056713,326.31729817086017,84000
20,325.293538518582,330.11253699172767,326.862406429971,88000
21,331.20954375154605,335.10591343926063,332.2298685641119,92000
22,329.41660515552155,331.55418562072634,330.8290481347402,96000
23,330.23961886764124,333.8874501370673,332.1668929331256,100000
24,332.91595777797613,338.94438456397245,336.2798337597489,104000
25,336.4668192186439,340.170255224264,337.9975412755937,108000
26,337.9367257519379,342.81686040404264,340.4443205015144,112000
27,336.44372851963743,338.9812680741691,337.5647180002124,116000
28,339.6861227097553,340.9858283638801,340.2407613581226,120000
29,334.7886261235237,341.0677084489524,337.3338581044154,124000
30,332.8135747767056,336.98109362658914,335.24159079063264,128000
31,334.82598968017896,339.2674808799922,336.8057635467846,132000
32,329.88281274972405,335.52956065418067,332.47710966091677,136000
