MinimumReturn,TotalSamples,Iteration,MaximumReturn,AverageReturn
109.56075583247288,6666,,198.42958852881674,162.71714909965246
135.2624358162268,9999,1,198.96496448663285,172.35485010790245
108.9867654534131,13332,2,199.26080667358744,173.5734522915531
116.74837564627455,16665,3,199.2630605877894,165.6931838899015
123.87874131084847,19998,4,198.67591323390238,169.38042017681062
124.92768877824393,23331,5,199.349052860846,175.02607213953783
132.23882279763697,26664,6,199.12390676716814,179.0852926195319
118.14037332757457,29997,7,199.17186433172043,170.6689461800439
126.38014716543847,33330,8,199.19297008871865,168.6143513365037
123.91344819977643,36663,9,199.0761414438985,177.2509155076282
121.8126045778774,39996,10,199.28973538800886,171.98600373143438
123.28266831961412,43329,11,198.4112491826723,164.25225101426193
124.29029045153426,46662,12,199.02495732031977,167.57389541272292
107.76201037732874,49995,13,198.4378803537867,169.38450530197096
121.67878470511833,53328,14,199.09365235562748,173.11008198540057
134.96375433957064,56661,15,198.83827795518354,173.4200670358862
118.91884734525658,59994,16,199.17487852546822,159.41775588801613
129.8533035523981,63327,17,198.90937072884776,177.33713686879616
119.47547412902642,66660,18,198.93528453988569,177.8289414198108
104.18616994639865,69993,19,196.79592091683756,164.37247777092725
115.44733737563175,73326,20,199.0911553371136,173.52458750271163
126.26321323578307,76659,21,198.83676059188534,172.58903959888332
126.9429307604512,79992,22,199.05724719771467,173.3825226132502
108.4470501066951,83325,23,198.7721187992993,165.18182114315186
103.77041641851947,86658,24,198.99029519523936,174.2340977349256
129.69846428777697,89991,25,199.0864020831823,176.7483542359056
115.93499984959345,93324,26,198.01582870772808,160.79236288213676
115.60757376613434,96657,27,198.67375989062919,163.2836742706086
113.91806864806584,99990,28,199.08411344628712,169.5269395581629
128.29514187003846,103323,29,199.10107659167113,176.42817586958296
108.14199380302037,106656,30,198.71620915405816,156.31491895298782
110.96493393918959,109989,31,197.41708914037994,173.33302330072286
109.1411804734269,113322,32,197.9126198078494,172.54419137984198
121.94790589120764,116655,33,198.59275546182243,163.95200166796243
122.88188417936496,119988,34,198.127065186177,164.04666335987326
123.16691668201136,123321,35,199.22331872544817,166.79145793203864
123.13911955689632,126654,36,198.96809416930645,171.94160090342027
123.40708176609722,129987,37,198.3916001023311,156.97463806054503
123.27986792521467,133320,38,198.19782218412962,172.41440282232506
123.26631346369678,136653,39,198.31854962620068,170.16274790779858
