MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
-332.48371992347273,,-307.08081564484377,-269.5940924736031,8000
-384.9414965187388,1,-331.74623323227365,-281.4265897486576,12000
171.36238711275794,2,243.47902079550713,352.17042257208067,16000
-373.3326618599981,3,41.79623956545482,512.9294573127938,20000
-430.18838903961074,4,-318.90673392338545,-158.10243104858534,24000
-241.9727840041936,5,45.85999335044429,364.03566411202166,28000
-255.65107082815328,6,389.1210574207471,1036.4951416667823,32000
-338.49110967163614,7,385.36572339468574,1478.4164425747797,36000
-1.9326701486193874,8,1150.293301591614,1588.3557341301157,40000
369.88666484263643,9,1344.123490799379,1953.4179242183645,44000
-125.59283002108238,10,1042.6587922295423,1751.2916108033573,48000
-224.1001368905942,11,782.1835185863724,1855.202014248133,52000
-117.29289760745804,12,804.816713593278,2028.8390415156036,56000
215.4966999066538,13,1073.9652052082745,1953.2815211518916,60000
-145.1662704926311,14,1190.8604150946333,1984.3980750382968,64000
1037.483778354661,15,1939.5520010559687,2255.4902247023674,68000
-16.37860517835222,16,1428.561023519211,2201.2000947294937,72000
-281.04195996194215,17,937.2065636663893,2199.97658473081,76000
-26.643829250601463,18,1610.1268559760074,2450.178947945232,80000
-51.868013309903205,19,1802.9515990689904,2312.249348939385,84000
47.60867420300001,20,1207.1257660134788,2159.8435448701307,88000
85.19827909066557,21,1110.2314550785488,1906.5085128784708,92000
40.957299057840984,22,642.9316571964249,1594.9493771719028,96000
-304.86813877043613,23,-117.87284505825193,116.42414505540977,100000
-304.4719941366768,24,-117.3437842053596,257.8306478216146,104000
-617.2134913160899,25,-169.18695744514062,504.44286837156676,108000
-318.1080235362647,26,808.1547988556014,2133.0410313643165,112000
-4.372408810873418,27,1685.6680374235475,2463.1375161784854,116000
-124.38986707818921,28,1527.3726008653764,2284.22040270886,120000
-48.95993596545395,29,1863.30357763574,2455.0747716598216,124000
232.2343287958592,30,1778.508634067249,2518.0725527079235,128000
408.84934814542015,31,1675.8239269827511,2402.677949383967,132000
503.3810616594527,32,1958.6864198636931,2435.876386062996,136000
