AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-2235.045050777699,,-2358.2175973490853,-2169.841386467999,8000
-1802.5846365367454,1,-2055.53291347743,-1539.089082670419,12000
-2102.0525645575,2,-2570.754855413063,-1729.3220041792806,16000
-1245.6943823249958,3,-2798.178316080431,-520.1655057767816,20000
-337.17096952979415,4,-566.9017558850526,207.70436369515912,24000
-158.5824504028476,5,-1065.7655360216356,776.6512420795285,28000
-587.6968923085623,6,-1180.657343675992,551.4789651761607,32000
203.17417601855232,7,-162.57352732174243,528.1346901362376,36000
513.090321633048,8,-337.5080862406668,1639.0101222969793,40000
-170.43975916239197,9,-1440.0441059694149,1457.5512333743882,44000
691.99990421107,10,-578.6638069255181,1319.045068989557,48000
816.3781993929042,11,-1265.5178155694534,1939.9398711615097,52000
1147.7244323567654,12,-107.34460640410286,1876.9893698615865,56000
797.1536548084226,13,-773.0444944478248,1862.4063757642855,60000
560.7793390415836,14,-635.9263693826258,1837.0976530592584,64000
1241.7639575190835,15,-734.5350735510139,2403.687065669364,68000
1165.8267143261053,16,-559.3640459021956,2058.7307253029658,72000
1564.4291234119116,17,940.0601754373341,2095.739924055589,76000
1775.6948829481717,18,905.4577900666438,2354.1090865651036,80000
1559.0673908438018,19,768.2822813669197,2150.027854142675,84000
206.3951765795019,20,-339.0717462730795,688.4979501146054,88000
-489.71783335041664,21,-778.1255373524466,-205.93403426418055,92000
-700.3574916014317,22,-1136.661960269303,-421.4800309530838,96000
-206.78552609266137,23,-1101.2809538194526,254.97331075430083,100000
-581.484935608145,24,-1068.8922021395315,143.48371011804107,104000
416.3088542376063,25,-869.6794946195957,1668.5760612445242,108000
1096.783937729733,26,17.491047478599558,2221.7654089007633,112000
1265.5054566030306,27,-2011.2435111054917,2356.711701639304,116000
1795.488794527154,28,1213.7758448034874,2244.4354238226397,120000
1246.3189631169005,29,612.3366633720507,2217.409164958832,124000
712.2023429945633,30,-1779.564050265913,1730.7050033348257,128000
916.0668546852467,31,-2717.4719503654464,2503.782009498534,132000
-462.0975722533404,32,-2959.374994025301,1538.859019293858,136000
