MinimumReturn,AverageReturn,TotalSamples,Iteration,MaximumReturn
-21.399900622820883,-7.355618388298634,8003,,3.6701265622084387
-20.259008651673494,-6.740206811459178,12007,1,3.8838687005552703
-18.63714333971144,-7.022351988393404,16011,2,9.112239925167184
-22.83918906487105,-7.109348246420012,20015,3,3.9028886564627205
-17.60852223789488,-6.972696861086428,24021,4,2.323630401793061
-21.49335674738917,-7.041147603630735,28025,5,4.250813091964231
-18.9022364046565,-7.041886601667043,32031,6,4.378827008394863
-19.5541962283275,-7.154173272446073,36031,7,-0.43615163864652806
-19.442699637998007,-7.152815637227579,40031,8,0.803293768807507
-19.881620912841637,-7.087877854671679,44035,9,0.21528174764808083
-19.243096282921933,-7.172145972178369,48039,10,5.457097299518434
-20.017017415606585,-7.079284271265978,52041,11,3.060905660400164
-18.76317604175608,-7.099288370889558,56042,12,0.569905965585243
-20.175057799466664,-7.102642162289662,60043,13,17.98734974310932
-20.68587538594934,-7.221142484024048,64049,14,-0.6488069993004961
-19.74018109014226,-7.253509470620788,68064,15,-0.3486977493493404
-20.15415822646757,-6.96518956595113,72064,16,3.5494874307105726
-18.408156329354853,-6.895621285072675,76067,17,0.32699541675577315
-18.45837984430445,-6.939878958850771,80071,18,3.645565507272937
-20.293523128269406,-6.642547140277229,84075,19,3.425798729385975
-20.03204356846651,-7.0260401322877595,88080,20,3.2164490524511917
-17.497352455012464,-6.854522660606722,92080,21,1.5111592804302911
-18.035368453023494,-6.848154386021942,96080,22,-0.7368828568495236
-18.23377496679467,-6.900011310666303,100081,23,2.216119657955333
-17.193232222909565,-6.83505628100309,104083,24,0.4956572751371766
-18.107044332016123,-7.0359106515209895,108084,25,6.038498545778695
-21.16286812731916,-6.630500242075593,112089,26,1.223551871491023
-17.888124932692886,-6.843489443012468,116091,27,2.871017690550439
-19.070865966332107,-6.717535425171309,120096,28,0.7685957584044747
-18.276355663370733,-6.81460161563299,124096,29,1.2941638241249316
-17.809573683536044,-6.977599718899619,128102,30,1.630788489708368
-18.312060182075193,-6.732561064466025,132103,31,1.1812471058313225
-17.88036241603324,-6.719643286499326,136107,32,-0.444085455033159
