MinimumReturn,Iteration,TotalSamples,AverageReturn,MaximumReturn
-25.9281204891057,,8015,-7.1313941061153026,15.144700314233653
-20.318564136907707,1,12025,-7.03704327777485,19.078056240026964
-20.077790051180003,2,16026,-7.20690390319711,5.023682313994566
-38.815124068985426,3,20032,-6.940817435846382,20.24574254640949
-19.943058939779995,4,24043,-6.842762742878909,14.345949259212693
-28.241906076673825,5,28043,-7.668426435394957,14.105590250627875
-26.265047108065072,6,32046,-8.5013101361436,7.026498068227483
-22.30877222229309,7,36060,-8.307081681614523,18.520390673152345
-23.78129696691107,8,40078,-8.46728329602782,16.083043836409644
-24.12546482366002,9,44078,-8.273768005527257,10.750652662594963
-25.89319064702808,10,48081,-7.174711750396352,17.181277059152947
-23.977831729276183,11,52086,-6.2410120270410845,80.61325714120822
-20.172461368089564,12,56093,-7.9472932807911585,14.519300298290268
-41.070485873858026,13,60100,-8.021010077244014,36.77146734836532
-31.212879430302785,14,64113,-8.261921636932062,18.01502950878256
-26.30167180073244,15,68117,-7.339148837624984,97.25194459637622
-22.591886278847586,16,72124,-7.386597558645904,26.891207689223577
-26.381543341809984,17,76138,-8.379118517092888,21.534635036324193
-25.490995879895436,18,80142,-9.020316270473982,38.27964378983495
-20.200124852977893,19,84146,-8.245156886310522,5.607238339597022
-19.45048402233494,20,88151,-7.288765132155709,5.203133263418424
-19.240658520200682,21,92157,-7.658833832774132,8.032350272806369
-22.848010737379244,22,96171,-7.900746957184191,9.57160574026793
-21.471316070297174,23,100175,-8.40263952356462,9.672248490679227
-20.343850845057503,24,104181,-8.52382860144988,11.681798087248326
-22.81615270329306,25,108190,-8.549745651772255,1.3440334199332398
-20.28455077493154,26,112190,-8.694482515023138,6.816242990723564
-20.137636390727874,27,116194,-8.405399858710698,8.744773638034525
-19.500922986047748,28,120202,-8.411447987859605,6.5072230248591705
-19.826252937779536,29,124215,-7.984510875925985,7.234160261971532
-20.798815468074217,30,128215,-7.949935133232065,3.1691560216187984
-20.95652735010445,31,132216,-8.038931223693812,1.2074270462534393
-20.618656616639903,32,136219,-7.707091678767025,2.9206784435026263
