AverageReturn,MaximumReturn,MinimumReturn,TotalSamples,Iteration
-311.66393311473746,-259.683893272299,-361.85615893823893,8000,
-292.71513475427844,-220.30269021312571,-340.2627885466815,12000,1
35.1174504916553,130.73816571901273,-12.708235553394049,16000,2
550.9970003265174,681.3024008210358,346.11093169546376,20000,3
866.6763784930945,975.1302443061662,692.7638066393638,24000,4
1087.6478231575063,1150.9086625734099,983.0382403073966,28000,5
1201.9665316355188,1251.972535419787,1112.7948273193933,32000,6
1348.541251884399,1550.997529230997,1201.877915924559,36000,7
1413.6734769257082,1492.5930674755245,1302.6239502852256,40000,8
851.5583873388515,1472.0992668873246,-497.5209544086071,44000,9
1478.1753402656996,1590.6292634242113,1374.7308613181967,48000,10
1514.252115654371,1560.267739508063,1482.1416163255972,52000,11
1425.7987686949236,1497.8572885295841,1348.0224191657371,56000,12
1465.5794868377895,1513.1212895068788,1311.83037599418,60000,13
1530.7624525233025,1588.3153603551593,1488.3774940569272,64000,14
1647.9488343153582,1758.5923073447811,1551.9949666067596,68000,15
1761.159247766392,1850.9112910011183,1656.8269299629064,72000,16
1659.9883440621807,1730.6337028367798,1614.8952747596322,76000,17
1714.1712877179368,1763.5076960928297,1610.7837808145844,80000,18
1631.4086871127408,1745.2086038135903,1502.3297816525649,84000,19
1753.1982284987205,1829.0986936215177,1659.4089987351367,88000,20
1681.8458113747577,1765.683629752141,1527.61960895382,92000,21
1788.951922089146,1845.1890771512396,1717.3919219215265,96000,22
1713.6104141514504,1781.3953510643305,1628.8169797480111,100000,23
1687.7465345671028,1752.5057643356788,1624.6904655628996,104000,24
1766.511382793579,1834.3426264977595,1632.5347134867288,108000,25
1534.8590789063692,1951.855591783189,985.5081268019095,112000,26
1791.587655720392,1932.3286299511929,1694.962408864106,116000,27
1816.3479563895355,1877.8559595754266,1742.6353160293957,120000,28
1815.3678515210574,1952.7249770493356,1746.2313792612674,124000,29
1816.3164334893927,1879.655220970098,1706.9868400710518,128000,30
1804.6801610998227,1942.8499828737995,1740.02144500837,132000,31
1796.2011254253612,1902.03595197952,1715.3835402812656,136000,32
