MinimumReturn,TotalSamples,Iteration,MaximumReturn,AverageReturn
98.56480120789034,6666,,198.96523397800553,176.5914575101938
115.77341325271315,9999,1,199.22022612583646,177.2531057077415
143.39800214760947,13332,2,199.17258669299022,175.7436083052357
128.09823255894185,16665,3,199.066880712121,171.509138087498
133.82020767790053,19998,4,199.22193121100105,176.75016837031356
125.83467838205218,23331,5,199.22083118921586,176.39321188568687
131.11764038743118,26664,6,198.54437609346306,172.81506214281006
119.61818042643247,29997,7,199.0829938262389,173.28557838749526
98.65929704419567,33330,8,199.022464367487,174.64223282655428
126.17286284115595,36663,9,199.1392563159084,170.31231820103028
129.10681794809116,39996,10,199.25126806850136,175.2889644176312
127.99100028668703,43329,11,198.43080765302017,168.03288238152942
111.63730428164907,46662,12,199.24922779507153,156.32142808600375
117.51552944258749,49995,13,198.71093164819493,167.5047291385033
114.3437295427866,53328,14,199.20466834379604,173.0450624692871
124.44521800328297,56661,15,199.08416816021418,172.34682739115055
123.14097886731761,59994,16,199.18325623622337,171.84619995413462
131.80297037935733,63327,17,198.83246621376009,172.41618124163907
111.54673808865694,66660,18,198.24764710801526,162.83904285246462
139.42064546272474,69993,19,198.87188126774353,174.27341294272125
126.96308363867476,73326,20,198.55433696224577,182.14258888300566
125.54632693563434,76659,21,198.81743939148035,171.3466800111738
128.80531973860874,79992,22,199.2727579605801,169.19191793274774
134.08311656511611,83325,23,199.24899410625406,179.57859800189337
121.7676314291892,86658,24,199.03721928678226,164.2141560925398
131.74621185514036,89991,25,198.71076226927994,170.14274202115988
117.95692872844612,93324,26,199.28589686286125,167.67663729404092
120.86885887759746,96657,27,198.54676166258278,174.90467117195524
126.98349334570902,99990,28,199.28843497373,168.99072674583502
129.8391780593475,103323,29,199.21563897669247,169.0391490681576
130.02277813820294,106656,30,199.15985984100215,169.23628234736188
119.29210445886281,109989,31,198.70173275241373,181.10054741848347
120.48696915316657,113322,32,198.68230276631115,165.06936857943026
127.39735909955643,116655,33,198.65471793380874,177.77417849794173
126.73575394312009,119988,34,197.9347823911038,169.16697199050367
133.21277393887317,123321,35,199.31565692559158,172.53671631958423
114.47284729410475,126654,36,198.67708526526957,161.44837366759396
123.2046917186563,129987,37,198.74282706542388,165.92555055072745
113.45410216896308,133320,38,199.04650086235637,175.7271691929649
122.31160130910776,136653,39,199.05952906064928,163.9648209001189
