TotalSamples,MinimumReturn,AverageReturn,Iteration,MaximumReturn
8000,-494.35537924727663,-371.44145302313444,,-311.0559438342134
12000,-492.7889762641182,-378.17743050297287,1,-299.62454326735053
16000,55.5757137251052,172.5825984365573,2,246.83105266270474
20000,-345.22389764324913,-156.53659819961396,3,17.991807969783075
24000,-338.86392111026515,-65.49687778525407,4,181.55305789213028
28000,-244.28285142014184,-89.25904201283755,5,105.08593264050528
32000,-338.8854436638285,-191.50534285490437,6,-78.45629433342955
36000,-325.0986792679984,-192.7294369742448,7,95.68431103121316
40000,-284.2590981539344,-14.334497457624133,8,288.0050615891465
44000,-343.7006343023887,256.20868038950135,9,664.4231134335881
48000,-223.52438165179703,534.1333643883822,10,1450.8085572674793
52000,-324.66638122782456,350.8968987151295,11,993.983985004226
56000,-333.7775976068299,113.07345188981724,12,556.1183976691399
60000,-404.6664832109076,184.4400697547015,13,1187.4505025037417
64000,38.51421920792353,836.7365826131758,14,1626.893315119908
68000,-332.67327348420616,42.278229467625344,15,787.4307024671896
72000,-425.61999263001275,164.79660667865045,16,693.5545418043664
76000,-232.09276164022725,73.92440808268246,17,577.8153129527918
80000,-329.6117537360324,-155.88401754955453,18,69.12894358603366
84000,-521.4135694324045,-312.9443777809874,19,-163.8675337370147
88000,-474.33953397508617,-280.86015428553657,20,-11.078920528693377
92000,-574.3571102867166,-364.13903537286586,21,-242.91957086289824
96000,-500.23764910541735,335.12877690214754,22,2348.473733975014
100000,-470.3247225770475,-167.15169117666298,23,259.67695538903
104000,-484.21677752657814,-97.2363420368236,24,769.116545306422
108000,-344.31160612466067,281.75744440129625,25,1529.3865822533298
112000,-313.30299073076606,33.34754658690591,26,535.5711769278399
116000,-223.90589544632164,184.51776658803726,27,822.5965668751832
120000,-344.97482090889264,-136.43053087794374,28,732.7067961924387
124000,-600.7966721064709,421.72288860423987,29,1792.051797604105
128000,-131.31119543990306,168.69330482162954,30,514.9832572863932
132000,-295.8516499482992,149.2529994937008,31,1491.5094398170008
136000,-385.62888727682264,211.78790082168715,32,1315.6018720282134
