AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-2506.6564523309357,,-3071.228772242695,-2073.9516744870384,8000
-2343.4610353836583,1,-2544.162504399965,-1964.7594302684172,12000
-1847.46782005077,2,-2143.6748719847033,-1270.0490542390035,16000
-2051.5041234065484,3,-2251.831127643077,-1667.5707371343874,20000
-2024.887470685042,4,-2229.1892331495546,-1564.4139873274976,24000
-1185.5361966456715,5,-1676.0016813615277,-632.7470241028097,28000
-1178.6711280192674,6,-1671.483024630228,-741.3593789935115,32000
-651.342429240391,7,-1451.5933902948702,253.30425529394395,36000
60.77358067364148,8,-1008.7084594427829,1737.0247653173628,40000
85.77770598842189,9,-784.4646921707152,1267.3649828032956,44000
-134.84856864682482,10,-2726.7073414791203,1259.4560445793143,48000
1506.8938880726598,11,1467.0400578066167,1555.7852191597478,52000
1932.1880322887216,12,1847.1935788185606,2010.9031448572616,56000
2099.3238077096016,13,1261.1950120772651,2363.4147098396097,60000
1906.3096800766414,14,1269.5575409662704,2235.2744632041417,64000
1299.592179827368,15,-124.9469507082581,1853.1821114022828,68000
598.012962672941,16,-848.8469418187744,1809.6887872065777,72000
456.77460035760834,17,-342.3333781623438,1303.59782024555,76000
1428.4998033695526,18,445.6383404166788,2181.3992392913224,80000
713.3227786151497,19,-494.69237149646665,1439.958753280348,84000
570.3305066047036,20,-895.8636482143359,2350.3676220883135,88000
646.0719104112569,21,-1452.5549412165376,1753.7427999940555,92000
1519.4912415148035,22,479.9721851938087,2358.24938456166,96000
1278.5731879283244,23,-1162.6804904359283,2481.415555506402,100000
1869.6601109908345,24,1501.1058357741426,2058.4642528352924,104000
1386.0992944612474,25,393.71867911676094,2416.474589005341,108000
2012.8457508811389,26,1171.1690603424927,2358.898202594479,112000
279.2369367988886,27,-2652.039988273929,2619.340885328327,116000
1008.4998143851618,28,-926.8517205877193,1859.3992183920514,120000
1537.9793746995717,29,-256.75032771744117,2354.6715282686187,124000
1390.3983425228762,30,490.1999285841733,2090.199942858329,128000
1191.342265671736,31,-893.9546260121843,2584.1721146264836,132000
740.3355830643931,32,-1615.348313240101,2046.6797519755096,136000
