AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-1347.2479273001975,,-1913.0455148799795,-831.6524201056052,8000
-1160.0494407869164,1,-1567.8588245752906,-896.6910078340475,12000
-1809.7363962385527,2,-2082.5679171868064,-1584.1763595217192,16000
-1068.366495458165,3,-1542.0386539638525,-655.388770028316,20000
-1177.2609366525369,4,-2064.0474057605766,-748.3408049425784,24000
-849.0985071974251,5,-1220.1200951136027,-586.5610469313805,28000
-758.9586886515963,6,-1266.067898732299,-227.47043270596885,32000
-1327.785968075172,7,-1964.2367631382049,-818.6690697318477,36000
-1142.3607340856547,8,-1673.110025284759,-648.0485760372633,40000
-994.7495975473256,9,-1493.5759017637947,-690.3153458175119,44000
-916.273637981611,10,-1240.553077153855,-426.0553666882399,48000
-1044.831111232779,11,-1460.9151176484163,-379.84769957711285,52000
-1226.525342758318,12,-1530.2438214002473,-826.1467135525248,56000
-983.0400646831046,13,-1499.632136520965,-174.71975590809188,60000
-806.5129911674541,14,-1034.1415045293375,-541.706798867302,64000
-919.8818465157528,15,-1603.3090864200408,-175.9500059363976,68000
-489.0070405889808,16,-666.6307642664273,10.123508293064244,72000
-817.3575179892383,17,-1624.0043151931088,368.8362659794233,76000
-623.9063386165452,18,-1440.2302922375368,159.95579974104203,80000
-332.4827780741835,19,-1291.590086624624,279.2347337522,84000
-432.11809999188694,20,-944.809049771092,48.82558487713634,88000
-53.53028354508702,21,-413.88756897817024,304.0791274056006,92000
-230.88749571698895,22,-974.3596170743454,291.76449010111776,96000
-653.2139541232842,23,-1400.3914185113697,-329.41301997083116,100000
-549.8505222636544,24,-1601.6537502961169,302.6870481217085,104000
-26.246958332280425,25,-329.25218301009124,592.062954546862,108000
-165.40677612269153,26,-1181.4859347743509,261.9542875490753,112000
-19.372477161119537,27,-424.9097510868937,434.3425714014347,116000
198.5603450030817,28,-162.301002300215,726.6981904675797,120000
-220.37349736832198,29,-1288.4441963509628,384.18647585644607,124000
-26.42329870084797,30,-1644.3560662262917,474.48337756141865,128000
-130.93735547147358,31,-1101.389317094603,363.97118646899236,132000
-359.8768835077117,32,-2303.9576570046643,513.2697495896512,136000
